ID,Gender,3D LD Count,3D LD Density,Avg Vol,Integrated Intensity Density,Subiculum Volume
18,M,22004.0,0.00022324095381067154,2.0702000000000003,46818621317.0,98566144.0
19,M,35619.0,0.00026129942673903245,2.27825,42968632195.16,136314880.0
20,F,13883.5,0.00010677691428892075,3.3595,45987417434.88,130023424.0
21,F,5790.5,5.3614088632528067e-05,1.8197999999999999,75080007839.0,108003328.0
22,F,9275.0,5.0835225773953844e-05,2.4638,131000000000.0,182452224.0
23,M,16090.0,0.00013949654319069603,2.5534,75806846774.0,115343360.0
24,M,1550.5,2.0537111494276258e-05,0.5461,54781137751.0,75497472.0
25,F,14311.0,0.00013648033142089845,3.0387,90717595726.5,104857600.0
26,F,15992.0,0.0002089199954516267,2.7006,53920658922.0,76546048.0
27,F,6395.0,6.0383636172455136e-05,1.7698,51425459953.0,105906176.0
28,M,12708.0,0.00012119293212890626,2.1634,24724099043.725,104857600.0
29,M,1421.0,1.9928988288430608e-05,0.94845,41282755447.0,71303168.0
30,F,14207.5,8.415731584063228e-05,1.8765999999999998,76164134272.0,168820736.0
31,M,7410.0,9.298324584960938e-05,1.5059,57737401193.0,79691776.0
32,M,167.0,1.6942937323387634e-06,0.5096,14239773071.0,98566144.0
