,ID,Gender,Amyloid Plaque Count,Amyloid Surface Volume,Amyloid Surface Area,Total Amyloid IID,Microglia Count,Microglia Surface Volume,Microglia Surface Area,Total Microglia IID,HPC Volume
0,18_M_sliceB1,M,252,1070255.125,312287.5,1780110080.0,786,723302.562,378974.344,1173204736.0,225545824.0
1,18_M_sliceB2,M,200,1092296.625,282036.5,2360410880.0,1543,3712581.5,1537870.5,5317660672.0,185318896.0
2,19_M_sliceB1,M,203,759266.875,244090.516,1006047744.0,1540,3984291.75,1635789.375,3389033472.0,163113552.0
3,19_M_sliceB2,M,183,714234.75,230927.484,964913984.0,1660,4080507.25,1705247.0,3523637760.0,164929904.0
4,20_F_sliceB1,F,321,2047772.625,512399.781,3882770944.0,1516,3667229.75,1505405.25,3425074432.0,189788176.0
5,20_F_sliceB2,F,283,1792286.375,493274.25,3350049024.0,1537,3774917.25,1568181.75,3756741376.0,179518560.0
6,21_F_sliceB1,F,158,473905.5,168091.891,433045568.0,2206,2209417.75,1107071.75,1239544448.0,182197680.0
7,21_F_sliceB2,F,175,496111.062,173695.016,373889696.0,2747,3084471.5,1551890.0,1728811008.0,170077040.0
8,22_F_sliceB1,F,204,783335.188,230796.531,1281378048.0,1531,3630556.75,1529825.375,3812651776.0,179684640.0
9,22_F_sliceB2,F,197,660279.875,223889.859,818061632.0,1508,3536187.25,1494138.75,3068300800.0,175877648.0
10,23_M_sliceB1,M,197,982463.0,268886.656,1372051456.0,1616,3630979.25,1533732.875,2999601920.0,159247536.0
11,23_M_sliceB2,M,181,923472.875,251751.281,1377799552.0,1609,3586485.5,1527669.875,2595887872.0,159586240.0
12,24_M_sliceB1,M,179,622930.688,198988.562,890567104.0,1683,3758693.0,1569776.5,3693584384.0,225745040.0
13,24_M_sliceB2,M,185,530039.5,187326.453,649124288.0,1806,3708616.25,1591553.375,3252898304.0,229132080.0
14,25_F_sliceB1,F,349,2268728.75,573098.812,4352750592.0,1521,4030677.5,1633782.375,6708674048.0,198311664.0
15,25_F_sliceB2,F,308,1920952.75,487441.156,3696633600.0,1426,3933191.75,1550542.625,5970978304.0,159860688.0
16,26_F_sliceB1,F,269,1314086.5,351699.312,2811649280.0,1480,3493991.5,1440793.0,5026984448.0,238373344.0
17,26_F_sliceB2,F,307,1536034.75,425966.875,3012485632.0,1695,4541329.5,1882005.0,5880976384.0,237889376.0
18,27_F_sliceB1,F,322,2276048.0,615144.188,5125070336.0,1403,3219986.0,1355579.125,6127989248.0,172945136.0
19,27_F_sliceB2,F,333,2719738.25,644880.688,6043660288.0,1376,3404090.25,1394963.25,6160291840.0,196211248.0
20,28_M_sliceB1,M,252,763568.875,264182.406,1178886272.0,1444,3351649.75,1390315.25,7270657024.0,210297712.0
21,28_M_sliceB2,M,213,725393.25,246110.953,1208102528.0,1599,4200212.0,1707246.625,9846404096.0,204107680.0
22,29_M_sliceB1,M,245,309527.594,178355.938,125902352.0,1631,4043065.0,1683074.5,6754524672.0,177218464.0
23,29_M_sliceB2,M,256,350741.156,188806.344,147677456.0,1681,4004627.75,1674842.375,5767342592.0,175352400.0
24,30_F_sliceB1,F,187,491924.656,174955.797,660148864.0,1476,3674586.25,1522104.5,5148929024.0,170265424.0
25,30_F_sliceB2,F,229,396539.469,172307.031,496722176.0,1514,3754514.25,1573121.625,4740254208.0,162814336.0
26,31_M_sliceB1,M,421,577472.062,324397.75,221432384.0,1591,2697955.25,1245334.875,4367773184.0,197331952.0
27,31_M_sliceB2,M,242,399455.75,158415.938,440243904.0,1734,3463960.75,1514013.0,4683239424.0,204181168.0
28,32_M_sliceB1,M,153,596217.188,187080.875,1155560832.0,1861,3575736.25,1543793.75,5657525248.0,207754368.0
29,32_M_sliceB2,M,163,815285.938,209582.875,1865363072.0,1842,3612642.25,1551260.625,6924476928.0,210677456.0
