Average,,,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,,,
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time
Area,120.453,18493.529,1044.775,1254.803,704.609,344,1304,570447.125,546,µm^2,Surface,,,,1
Intensity Mean,172.842,13524.467,1351.286,1555.535,805.469,468,1536,737802.312,546,,Surface,1,,Image 1,1
Intensity Mean,1173.623,14568.48,5410.96,1619.934,5176.912,4536,5940,2954384.5,546,,Surface,2,,Image 1,1
Intensity Mean,396.971,14008.873,2282.883,1523.942,1820.342,1380,2672,1246454,546,,Surface,3,,Image 1,1
Intensity Mean,1580.847,18512.912,4130.494,2850.616,2938.522,2232,4644,2255249.5,546,,Surface,4,,Image 1,1
Intensity Mean,1580.847,18512.912,4117.763,2838.219,2921.299,2232,4632,2248298.75,546,,Surface,5,,Image 1,1
Intensity Sum,5814,23643824,637979.625,1454055.125,185606.5,57344,598016,348336896,546,,Surface,1,,Image 1,1
Intensity Sum,43327,111269696,2620859.25,6321423.5,1128912,425984,2768896.75,1430989056,546,,Surface,2,,Image 1,1
Intensity Sum,13497,53242588,1296079.75,3643588.75,417652.5,147456,1122304.375,707659520,546,,Surface,3,,Image 1,1
Intensity Sum,43609,215509280,2937162.5,11497982,644289,196608,1900544,1603690752,546,,Surface,4,,Image 1,1
Intensity Sum,43609,215509280,2932165.75,11497771,644289,196608,1900544,1600962560,546,,Surface,5,,Image 1,1
Number of Disconnected Components,1,1,1,0,1,1,1,546,546,,Surface,,,,1
Volume,86.327,134939.422,2919.378,7379.448,1256.205,448,3008,1593980.375,546,µm^3,Surface,,,,1
